shipment_id,appointment_id,date,carrier_id,status,arrival_delay_mins,wait_time_mins,actual_unload_duration_mins,pallet_count
SHP-000001,APT-000001,2026-02-01,CAR-020,completed,1.6,15.6,99.7,39
SHP-000002,APT-000002,2026-02-01,CAR-018,completed,5.7,21.4,27.6,2
SHP-000003,APT-000003,2026-02-01,CAR-030,completed,24.6,13.9,47.6,19
SHP-000004,APT-000004,2026-02-01,CAR-023,completed,49.8,23.4,45.7,22
SHP-000005,APT-000005,2026-02-01,CAR-013,completed,20.1,24.0,87.1,42
SHP-000006,APT-000006,2026-02-01,CAR-028,no_show,0,0,0,45
SHP-000007,APT-000007,2026-02-02,CAR-023,completed,3.5,6.0,32.1,2
SHP-000008,APT-000008,2026-02-02,CAR-022,completed,9.8,17.0,102.5,43
SHP-000009,APT-000009,2026-02-02,CAR-015,completed,0,20.9,117.5,52
SHP-000010,APT-000010,2026-02-02,CAR-029,completed,27.6,20.7,52.3,18
SHP-000011,APT-000011,2026-02-02,CAR-005,completed,0,20.2,75.6,37
SHP-000012,APT-000012,2026-02-02,CAR-028,completed,81.3,26.2,53.9,11
SHP-000013,APT-000013,2026-02-02,CAR-017,completed,2.0,16.7,42.2,6
SHP-000014,APT-000014,2026-02-02,CAR-021,completed,3.4,15.9,99.2,43
SHP-000015,APT-000015,2026-02-02,CAR-030,completed,16.3,13.4,36.5,3
SHP-000016,APT-000016,2026-02-02,CAR-003,completed,0,18.3,45.5,21
SHP-000017,APT-000017,2026-02-02,CAR-013,completed,0,14.4,97.9,27
SHP-000018,APT-000018,2026-02-02,CAR-015,completed,0,2.6,41.0,5
SHP-000019,APT-000019,2026-02-02,CAR-018,completed,16.5,19.0,60.9,13
SHP-000020,APT-000020,2026-02-02,CAR-018,completed,10.8,17.4,23.8,7
SHP-000021,APT-000021,2026-02-02,CAR-027,completed,46.3,12.3,27.2,1
SHP-000022,APT-000022,2026-02-02,CAR-018,completed,6.6,4.8,80.5,31
SHP-000023,APT-000023,2026-02-02,CAR-005,completed,2.9,6.0,71.2,34
SHP-000024,APT-000024,2026-02-02,CAR-004,completed,0,9.9,83.5,34
SHP-000025,APT-000025,2026-02-02,CAR-015,completed,26.2,20.8,34.7,8
SHP-000026,APT-000026,2026-02-02,CAR-026,completed,31.4,8.8,37.8,10
SHP-000027,APT-000027,2026-02-02,CAR-010,completed,16.7,10.1,22.1,8
SHP-000028,APT-000028,2026-02-03,CAR-005,completed,1.4,6.0,78.5,26
SHP-000029,APT-000029,2026-02-03,CAR-021,completed,8.8,7.7,31.9,8
SHP-000030,APT-000030,2026-02-03,CAR-001,completed,0,2.3,24.3,2
SHP-000031,APT-000031,2026-02-03,CAR-017,completed,2.2,11.3,33.0,3
SHP-000032,APT-000032,2026-02-03,CAR-020,completed,14.7,18.3,60.4,16
SHP-000033,APT-000033,2026-02-03,CAR-022,completed,2.7,10.5,32.0,2
SHP-000034,APT-000034,2026-02-03,CAR-006,completed,2.9,14.4,81.1,35
SHP-000035,APT-000035,2026-02-03,CAR-007,completed,3.7,2.9,56.9,31
