task_id,task_type,zone,created_at,sla_tier,sla_deadline,status,duration_mins,dwell_time_mins,completed_at,appointment_id,assigned_worker,priority_score
TSK-0000001,replenishment,C,2026-02-01 22:12,standard,2026-02-02 06:12,completed,9,21,2026-02-01 22:33,APT-000001,WKR-050,
TSK-0000002,replenishment,C,2026-02-01 23:44,urgent,2026-02-02 03:44,completed,10,30,2026-02-02 00:14,APT-000001,WKR-011,
TSK-0000003,unload,C,2026-02-01 22:02,urgent,2026-02-02 02:02,completed,18,41,2026-02-01 22:43,APT-000001,WKR-060,
TSK-0000004,unload,C,2026-02-01 23:31,economy,2026-02-02 23:31,completed,34,52,2026-02-02 00:23,APT-000001,WKR-044,
TSK-0000005,putaway,C,2026-02-01 22:51,economy,2026-02-02 22:51,completed,17,42,2026-02-01 23:33,APT-000001,WKR-001,
TSK-0000006,putaway,B,2026-02-01 07:24,standard,2026-02-01 15:24,pending,11,22,,APT-000002,WKR-046,
TSK-0000007,pick,C,2026-02-01 07:33,standard,2026-02-01 15:33,completed,8,19,2026-02-01 07:52,APT-000002,WKR-009,
TSK-0000008,putaway,B,2026-02-01 12:00,urgent,2026-02-01 16:00,pending,16,74,,APT-000003,WKR-040,
TSK-0000009,QC,C,2026-02-01 13:08,critical,2026-02-01 15:08,completed,12,14,2026-02-01 13:22,APT-000003,WKR-017,
TSK-0000010,putaway,B,2026-02-01 11:57,economy,2026-02-02 11:57,completed,12,20,2026-02-01 12:17,APT-000003,WKR-013,
TSK-0000011,putaway,C,2026-02-01 18:24,standard,2026-02-02 02:24,completed,9,32,2026-02-01 18:56,APT-000004,WKR-035,
TSK-0000012,unload,C,2026-02-01 19:45,urgent,2026-02-01 23:45,completed,24,32,2026-02-01 20:17,APT-000004,WKR-050,
TSK-0000013,pick,A,2026-02-01 18:29,standard,2026-02-02 02:29,completed,7,23,2026-02-01 18:52,APT-000004,WKR-047,
TSK-0000014,cycle-count,C,2026-02-01 12:30,standard,2026-02-01 20:30,completed,38,63,2026-02-01 13:33,APT-000005,WKR-003,
TSK-0000015,putaway,D,2026-02-01 12:23,standard,2026-02-01 20:23,completed,15,19,2026-02-01 12:42,APT-000005,WKR-057,
TSK-0000016,putaway,D,2026-02-01 10:59,economy,2026-02-02 10:59,pending,9,46,,APT-000005,WKR-006,
TSK-0000017,unload,C,2026-02-01 09:48,critical,2026-02-01 11:48,completed,16,16,2026-02-01 10:04,APT-000006,WKR-053,
TSK-0000018,putaway,C,2026-02-01 10:52,standard,2026-02-01 18:52,completed,3,3,2026-02-01 10:55,APT-000006,WKR-017,
TSK-0000019,unload,C,2026-02-01 10:35,critical,2026-02-01 12:35,completed,9,12,2026-02-01 10:47,APT-000006,WKR-004,
TSK-0000020,putaway,C,2026-02-01 09:51,standard,2026-02-01 17:51,completed,3,25,2026-02-01 10:16,APT-000006,WKR-039,
TSK-0000021,putaway,B,2026-02-02 22:50,urgent,2026-02-03 02:50,completed,17,30,2026-02-02 23:20,APT-000007,WKR-016,
TSK-0000022,putaway,B,2026-02-02 23:23,critical,2026-02-03 01:23,completed,18,31,2026-02-02 23:54,APT-000007,WKR-042,
TSK-0000023,cycle-count,C,2026-02-02 22:23,economy,2026-02-03 22:23,completed,27,29,2026-02-02 22:52,APT-000007,WKR-015,
TSK-0000024,putaway,B,2026-02-02 22:51,urgent,2026-02-03 02:51,completed,11,29,2026-02-02 23:20,APT-000007,WKR-046,
TSK-0000025,unload,B,2026-02-02 22:52,economy,2026-02-03 22:52,completed,19,22,2026-02-02 23:14,APT-000007,WKR-046,
TSK-0000026,putaway,C,2026-02-02 07:49,urgent,2026-02-02 11:49,completed,8,15,2026-02-02 08:04,APT-000008,WKR-054,
TSK-0000027,replenishment,A,2026-02-02 08:22,economy,2026-02-03 08:22,exception,20,325,,APT-000008,WKR-047,
TSK-0000028,QC,A,2026-02-02 07:59,urgent,2026-02-02 11:59,completed,19,30,2026-02-02 08:29,APT-000008,WKR-046,
TSK-0000029,putaway,C,2026-02-02 08:24,standard,2026-02-02 16:24,completed,5,28,2026-02-02 08:52,APT-000008,WKR-021,
TSK-0000030,pick,C,2026-02-02 06:48,standard,2026-02-02 14:48,completed,10,24,2026-02-02 07:12,APT-000009,WKR-058,
TSK-0000031,pick,A,2026-02-02 07:39,critical,2026-02-02 09:39,completed,13,17,2026-02-02 07:56,APT-000009,WKR-026,
TSK-0000032,putaway,B,2026-02-02 07:27,standard,2026-02-02 15:27,completed,14,15,2026-02-02 07:42,APT-000009,WKR-004,
